Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,HeatingQC,CentralAir,Electrical,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageQual,GarageCond,PavedDrive,Fence,SaleType,SaleCondition,SalePrice,group,lotarea_new,grlivarea_new,_1stflrsf_new,age_built,age_remode,y
11,20,RL,Pave,OT,Reg,Low,Other,Sawyer,Norm,Type1,Type2,5,5,Hip,type3,type3,TA,CBlock,TA,TA,No,906,Ex,Y,type1,1,1,3,1,TA,5,0,OT,type1,1,TA,TA,Y,OT,old,Normal,129500,train,9.323669057,6.946975992,6.946975992,46,46,11.77143616
12,60,RL,Pave,OT,IR,Low,Other,NridgHt,Norm,Type1,Type2,9,5,Hip,type2,type2,Ex,PConc,Ex,TA,No,998,Ex,Y,type1,1,3,4,1,Ex,11,2,Gd,BuiltIn,3,TA,TA,Y,OT,New,Partial,345000,train,9.386308455,7.751045118,7.074963198,6,5,12.7512997
13,20,RL,Pave,OT,IR,Low,Other,Sawyer,Norm,Type1,Type2,5,6,Hip,type3,type3,TA,CBlock,TA,TA,No,737,TA,Y,type1,1,1,2,1,TA,4,0,OT,type1,1,TA,TA,Y,OT,old,Normal,144000,train,9.470240063,6.81563999,6.81563999,49,49,11.87756858
14,20,RL,Pave,OT,IR,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,0,Ex,Y,type1,0,2,3,1,Gd,7,1,Gd,Attchd,3,TA,TA,Y,OT,New,Partial,279500,train,9.273502947,7.309212366,7.309212366,5,4,12.54075757
15,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,6,5,Hip,type2,type2,TA,CBlock,TA,TA,No,733,TA,Y,type1,1,1,2,1,TA,5,1,Fa,Attchd,1,TA,TA,Y,GdWo,old,Normal,157000,train,9.298351249,7.133295955,7.133295955,51,51,11.96400108
16,45,RM,Pave,OT,Reg,Low,Other,BrkSide,Norm,Type1,Type1,7,8,Other,type2,type2,TA,type1,TA,TA,No,0,Ex,Y,type2,0,1,2,1,TA,5,0,OT,type1,2,TA,TA,Y,GdPrv,old,Normal,132000,train,8.719317376,6.749931194,6.749931194,82,10,11.7905572
17,20,RL,Pave,OT,IR,Low,CulD,NAmes,Norm,Type1,Type2,6,7,Other,type2,type2,TA,CBlock,TA,TA,No,578,Ex,Y,type1,1,1,2,1,TA,5,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,149000,train,9.327323088,6.9117473,6.9117473,41,41,11.91170159
18,90,RL,Pave,OT,Reg,Low,Other,Sawyer,Norm,Type2,Type2,4,5,Other,type2,type2,TA,Slab,OT,Fa,OT,0,TA,Y,type1,0,2,2,2,TA,6,0,OT,type1,2,TA,TA,Y,OT,old,Normal,90000,train,9.286467732,7.167037877,7.167037877,44,44,11.40756495
19,20,RL,Pave,OT,Reg,Low,Other,SawyerW,Norm,Type1,Type2,5,5,Other,type3,type3,TA,PConc,TA,TA,No,646,Ex,Y,type1,1,1,3,1,Gd,6,0,OT,type1,2,TA,TA,Y,OT,old,Normal,159000,train,9.524786082,7.015712421,7.015712421,7,7,11.97665948
20,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,6,Hip,type3,type3,TA,CBlock,TA,TA,No,504,TA,Y,type1,0,1,3,1,TA,6,0,OT,Attchd,1,TA,TA,Y,MnPrv,old,Family,139000,train,8.930626469,7.199678346,7.199678346,53,46,11.84222921
21,60,RL,Pave,OT,IR,Low,Other,NridgHt,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Ex,TA,Mn,0,Ex,Y,type1,0,3,4,1,Gd,9,1,Gd,BuiltIn,3,TA,TA,Y,OT,New,Partial,325300,train,9.562053024,7.773173681,7.054449658,6,5,12.69250311
22,45,RM,Pave,Gr,Reg,Bnk,Other,IDOTRR,Norm,Type1,Type1,7,7,Other,type2,type2,TA,PConc,TA,TA,No,0,Ex,Y,type2,0,1,3,1,Gd,6,1,Gd,Attchd,1,TA,TA,N,GdPrv,old,Normal,139400,train,8.915835074,7.010311867,7.010311867,81,61,11.84510278
23,20,RL,Pave,OT,Reg,Low,Other,CollgCr,Norm,Type1,Type2,8,5,Hip,type3,type3,Gd,PConc,Gd,TA,No,0,Ex,Y,type1,0,2,3,1,Gd,7,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,230000,train,9.184201714,7.492760301,7.492760301,9,9,12.34583459
24,120,RM,Pave,OT,Reg,Low,Other,MeadowV,Norm,Type1,Type2,5,7,Other,type3,type3,TA,PConc,Gd,TA,No,840,TA,Y,type1,1,1,3,1,TA,6,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,129900,train,8.348537825,6.966024187,6.966024187,35,35,11.7745202
25,20,RL,Pave,OT,IR,Low,Other,Sawyer,Norm,Type1,Type2,5,8,Other,type3,type3,TA,CBlock,TA,TA,Mn,188,Ex,Y,type1,1,1,3,1,Gd,6,1,TA,Attchd,1,TA,TA,Y,MnPrv,old,Normal,154000,train,9.017483513,6.966024187,6.966024187,43,10,11.94470788
26,20,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,No,0,Ex,Y,type1,0,2,3,1,Gd,7,1,Gd,Attchd,3,TA,TA,Y,OT,old,Normal,256300,train,9.563107691,7.377758908,7.377758908,4,4,12.45410391
27,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,7,Other,type2,type2,TA,CBlock,TA,TA,Mn,234,TA,Y,type1,0,1,3,1,Gd,5,0,OT,type1,2,TA,TA,Y,OT,old,Normal,134800,train,8.881836305,6.802394763,6.802394763,60,11,11.81154748
28,20,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Ex,TA,No,1218,Ex,Y,type1,1,2,3,1,Gd,7,1,Gd,Attchd,3,TA,TA,Y,OT,old,Normal,306000,train,9.348187439,7.440733707,7.440733707,4,3,12.63134038
29,20,RL,Pave,OT,IR,Low,CulD,NAmes,Norm,Type1,Type2,5,6,Other,type2,type2,TA,CBlock,TA,TA,Gd,1277,TA,Y,type1,1,1,2,1,TA,6,2,Gd,Attchd,1,TA,TA,Y,OT,old,Normal,207500,train,9.700207901,7.377758908,7.377758908,54,14,12.24288662
30,30,RM,Pave,OT,IR,Low,Other,BrkSide,Artery,Type1,Type2,4,6,Other,type2,type2,TA,type1,TA,TA,No,0,Fa,N,type1,0,1,1,1,Fa,4,0,OT,type1,1,Fa,TA,Y,OT,old,Normal,68500,train,8.752107198,6.253828812,6.253828812,84,61,11.13458902
31,70,C,Pave,Pa,Reg,Low,Other,IDOTRR,Artery,Type1,Type2,4,4,Other,type3,type3,TA,type1,TA,TA,No,0,TA,N,type1,0,1,3,1,TA,6,0,OT,type1,1,TA,Fa,N,MnPrv,old,Normal,40000,train,9.047821443,7.183111702,6.475432717,91,61,10.59663473
32,20,RL,Pave,OT,IR,Low,CulD,Sawyer,Norm,Type1,Type2,5,6,Other,type3,type3,TA,CBlock,TA,TA,No,0,Gd,Y,type1,0,1,3,1,Gd,6,0,OT,Attchd,1,TA,TA,Y,MnPrv,old,Normal,149350,train,9.052984561,7.113142109,7.113142109,45,5,11.91404782
33,20,RL,Pave,OT,Reg,Low,Other,CollgCr,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Ex,TA,Mn,0,Ex,Y,type1,0,2,3,1,Gd,7,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,179900,train,9.310095205,7.118016205,7.118016205,4,4,12.10015642
34,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,5,5,Hip,type3,type3,TA,CBlock,TA,TA,No,1018,Gd,Y,type1,0,1,4,1,Gd,6,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,165500,train,9.264070694,7.43838353,7.43838353,52,52,12.01672647
35,120,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,9,5,Hip,type2,type2,Ex,PConc,Ex,TA,No,1153,Ex,Y,type1,1,2,2,1,Ex,6,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,277500,train,8.897408865,7.353081921,7.353081921,6,6,12.53357621
36,60,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Ex,TA,Mn,0,Ex,Y,type1,0,3,4,1,Gd,9,1,Gd,BuiltIn,3,TA,TA,Y,OT,old,Normal,309000,train,9.504352368,7.804659297,7.031741259,7,6,12.64109656
37,20,RL,Pave,OT,Reg,Low,Other,CollgCr,Norm,Type1,Type2,5,5,Other,type3,type3,TA,PConc,Gd,TA,No,0,Ex,Y,type1,0,1,3,1,TA,6,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,145000,train,9.292749508,7.00033446,7.00033446,17,16,11.88448902
38,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,6,Hip,type2,type2,TA,CBlock,TA,TA,No,1213,Gd,Y,type1,0,1,3,1,TA,5,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,153000,train,9.05157908,7.167809184,7.167809184,57,21,11.9381932
39,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,7,Other,type3,type3,TA,CBlock,TA,TA,No,731,TA,Y,type1,1,1,3,1,Gd,5,0,OT,type1,1,TA,TA,Y,OT,old,Family,109000,train,8.977398978,6.963189986,6.963189986,58,4,11.59910316
40,90,RL,Pave,OT,Reg,Low,Other,Edwards,Norm,Type2,Type2,4,5,Other,type1,type3,TA,PConc,OT,Fa,OT,0,TA,N,type2,0,2,2,2,Fa,6,0,OT,OT,0,OT,OT,N,OT,old,Family,82000,train,8.706159291,7.049254841,7.049254841,56,56,11.31447453
41,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,6,5,Other,type2,type2,TA,CBlock,TA,TA,No,643,Ex,Y,type1,0,2,3,1,TA,6,1,TA,Attchd,2,TA,TA,Y,GdWo,old,Family,160000,train,9.066239028,7.188412737,7.188412737,46,46,11.98292909
42,20,RL,Pave,OT,Reg,Low,Other,Timber,Norm,Type1,Type2,5,6,Other,type3,type3,TA,CBlock,TA,TA,Gd,967,Gd,Y,type1,0,1,2,1,TA,5,2,Gd,Attchd,1,TA,TA,P,OT,old,Normal,170000,train,9.735364715,7.19142933,7.19142933,52,52,12.04355372
43,85,RL,Pave,OT,IR,Low,CulD,SawyerW,Norm,Type1,Type1,5,7,Other,type3,type3,TA,CBlock,Gd,TA,Mn,747,Gd,Y,type1,1,1,2,1,Gd,5,0,OT,Attchd,2,TA,Gd,Y,MnPrv,old,Normal,144000,train,9.124782484,6.784457063,6.784457063,28,28,11.87756858
44,20,RL,Pave,OT,IR,Low,CulD,CollgCr,Norm,Type1,Type2,5,6,Hip,type3,type3,TA,CBlock,Gd,TA,Mn,280,TA,Y,type1,1,1,3,1,TA,5,0,OT,type1,1,TA,TA,Y,MnPrv,old,Normal,130250,train,9.126958763,6.843749949,6.843749949,36,31,11.77721096
45,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,6,Other,type3,type2,TA,CBlock,TA,TA,No,179,Ex,Y,type2,1,1,3,1,TA,6,0,OT,Attchd,1,TA,TA,Y,OT,old,Normal,141000,train,8.980298079,7.047517221,7.047517221,52,52,11.85651517
46,120,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,9,5,Hip,type2,type2,Ex,PConc,Ex,TA,No,456,Ex,Y,type1,1,2,2,1,Ex,6,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,319900,train,8.943506132,7.468513272,7.468513272,6,6,12.67576373
47,50,RL,Pave,OT,IR,Low,CulD,Mitchel,Norm,Type1,Type1,7,5,Other,type3,type3,Gd,PConc,Ex,TA,No,1351,Ex,Y,type1,1,1,1,1,Gd,6,1,Ex,Attchd,2,TA,TA,Y,OT,old,Family,239686,train,9.458917725,7.672757897,7.325148958,8,8,12.38708501
48,20,FV,Pave,OT,Reg,Low,Other,Somerst,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,24,Ex,Y,type1,0,2,3,1,Gd,7,0,OT,Attchd,3,TA,TA,Y,OT,old,Normal,249700,train,9.314339962,7.412160335,7.412160335,5,5,12.42801548
49,190,RM,Pave,OT,Reg,Low,Other,OldTown,Norm,Type2,Type2,4,5,Other,type2,type2,TA,type1,TA,TA,No,0,Gd,Y,type1,0,2,2,3,TA,8,0,OT,OT,0,OT,OT,N,OT,New,Partial,113000,train,8.402006782,7.280697195,6.601230119,91,3,11.6351431
50,20,RL,Pave,OT,Reg,Low,Other,Sawyer,Norm,Type1,Type2,5,7,Other,type3,type3,TA,CBlock,TA,TA,No,763,Ex,Y,type1,1,1,3,1,TA,6,0,OT,Attchd,1,TA,TA,Y,MnPrv,old,Normal,127000,train,8.954415331,6.861711341,6.861711341,45,45,11.75194237
51,60,RL,Pave,OT,IR,Low,Other,Gilbert,Norm,Type1,Type2,6,6,Other,type3,type3,TA,PConc,Gd,TA,Mn,182,Gd,Y,type1,0,2,3,1,TA,6,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,177000,train,9.537411413,7.29301768,6.677083461,14,14,12.08390501
52,50,RM,Pave,OT,Reg,Low,Other,BrkSide,Norm,Type1,Type1,6,6,Other,type2,type2,TA,PConc,TA,TA,No,0,TA,Y,type1,0,1,3,1,TA,6,1,Gd,type1,2,TA,TA,Y,MnPrv,old,Normal,114500,train,8.738735461,7.069874129,6.704414355,77,61,11.6483301
53,90,RM,Grvl,OT,IR,Bnk,Other,IDOTRR,Norm,Type2,Type2,5,5,Other,type2,type2,Fa,CBlock,Gd,TA,Gd,104,TA,N,type1,1,1,2,1,TA,5,0,OT,type1,2,TA,TA,Y,OT,old,Normal,110000,train,9.044521887,6.704414355,6.704414355,48,48,11.60823565
54,20,RL,Pave,OT,IR,Low,Other,Veenker,Norm,Type1,Type2,9,5,Other,type2,type2,Gd,CBlock,Ex,TA,Gd,1810,Gd,Y,type1,2,0,0,1,Gd,5,1,Gd,Attchd,3,TA,TA,Y,OT,old,Normal,385000,train,10.82518365,7.518607217,7.518607217,30,24,12.86099861
55,80,RL,Pave,OT,Reg,Bnk,Other,NAmes,Norm,Type1,Type2,5,5,Other,type2,type2,TA,CBlock,TA,TA,No,384,TA,Y,type1,0,1,3,1,TA,6,1,TA,type1,2,TA,TA,Y,MnPrv,old,Normal,130000,train,8.872627366,7.215239979,7.215239979,56,56,11.77528973
56,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,6,5,Other,type3,type3,TA,CBlock,TA,TA,No,490,Gd,Y,type1,0,2,3,1,TA,7,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,180500,train,9.22768901,7.261927093,7.261927093,47,47,12.10348606
57,160,FV,Pave,Pa,Reg,Low,Other,Somerst,Norm,Type2,Type2,8,5,Other,type2,type2,Gd,PConc,Gd,TA,No,649,Ex,Y,type1,1,2,3,1,Gd,7,0,OT,Attchd,2,TA,TA,Y,OT,old,Family,172500,train,7.880426344,7.461065514,6.89060912,12,11,12.05815252
58,60,RL,Pave,OT,IR,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,No,0,Ex,Y,type1,0,2,3,1,Gd,7,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,196500,train,9.362632182,7.45007957,6.756932389,7,7,12.18841771
59,60,RL,Pave,OT,IR,Low,CulD,StoneBr,Norm,Type1,Type2,10,5,Hip,type3,type3,Ex,PConc,Ex,TA,Gd,0,Ex,Y,type1,0,3,3,1,Gd,10,1,Gd,BuiltIn,3,TA,TA,Y,OT,New,Partial,438780,train,9.523836379,7.987864096,7.262628601,5,5,12.99175343
60,20,RL,Pave,OT,Reg,Bnk,Other,CollgCr,Norm,Type1,Type2,5,7,Other,type3,type3,TA,CBlock,TA,TA,Mn,632,Ex,Y,type1,0,1,2,1,TA,4,0,OT,type1,1,TA,TA,Y,MnPrv,old,Normal,124900,train,8.881836305,6.65929392,6.65929392,39,39,11.7352687
61,20,RL,Pave,OT,Reg,Low,Other,SawyerW,Norm,Type1,Type2,6,5,Other,type3,type3,TA,PConc,Gd,TA,No,941,Ex,Y,type1,1,1,3,1,Gd,5,0,OT,type1,2,TA,TA,Y,OT,New,Partial,158000,train,9.478227817,7.054449658,7.054449658,7,7,11.97035031
62,75,RM,Pave,OT,Reg,Low,Other,IDOTRR,Norm,Type1,Type1,5,7,Other,type2,type2,TA,type1,TA,Fa,No,0,TA,N,type1,0,1,3,1,Fa,6,0,OT,type1,1,TA,TA,N,OT,old,Normal,101000,train,8.881836305,7.01301579,6.364750757,91,15,11.5228758
63,120,RL,Pave,OT,IR,Low,Other,NridgHt,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Gd,Gd,Mn,24,Ex,Y,type1,0,2,2,1,Gd,6,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,202500,train,8.77059433,7.222566019,7.222566019,5,5,12.21849517
64,70,RM,Pave,OT,IR,Bnk,Other,OldTown,Norm,Type1,Type2,7,6,Other,type2,type2,TA,type1,TA,TA,No,0,Gd,Y,type1,0,2,3,1,TA,9,0,OT,type1,2,TA,TA,Y,GdPrv,old,Normal,140000,train,9.239899174,7.44424865,6.80461452,90,61,11.8493977
65,60,RL,Pave,OT,Reg,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,TA,PConc,Gd,TA,No,739,Ex,Y,type1,1,2,3,1,Gd,8,0,OT,Attchd,2,TA,TA,Y,GdPrv,old,Normal,219500,train,9.145801851,7.617759577,6.963189986,14,13,12.29910751
66,60,RL,Pave,OT,Reg,Low,Other,NridgHt,Norm,Type1,Type2,8,5,Other,type3,type3,Gd,PConc,Ex,TA,Mn,0,Ex,Y,type1,0,2,4,1,Gd,9,1,Gd,BuiltIn,3,TA,TA,Y,OT,old,Normal,317000,train,9.168580438,7.813187268,7.041411664,7,6,12.66665705
67,20,RL,Pave,OT,Reg,Low,Other,NAmes,Pos,Type1,Type2,7,5,Other,type3,type3,TA,CBlock,Gd,TA,Gd,912,TA,Y,type1,1,2,3,1,TA,7,1,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,180000,train,9.898475011,7.699389406,7.699389406,41,22,12.10071213
68,20,RL,Pave,OT,IR,Low,Other,CollgCr,Norm,Type1,Type2,7,5,Other,type3,type3,Gd,PConc,Gd,TA,Mn,1013,Ex,Y,type1,1,2,3,1,Gd,7,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,226000,train,9.274722631,7.299121463,7.299121463,8,8,12.32829028
69,30,RM,Pave,OT,Reg,Low,Other,OldTown,Artery,Type1,Type2,4,6,Other,type2,type2,TA,CBlock,TA,TA,No,0,TA,Y,type1,0,1,2,1,TA,4,0,OT,Attchd,1,TA,TA,Y,OT,old,Normal,80000,train,8.435549202,6.616065185,6.616065185,66,61,11.28978191
70,50,RL,Pave,OT,Reg,Low,Other,ClearCr,Norm,Type1,Type1,7,4,Other,type3,type1,Gd,CBlock,TA,TA,No,603,TA,Y,type1,0,2,3,1,TA,7,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,225000,train,9.654577375,7.734996194,7.173191743,58,58,12.32385568
71,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,7,6,Other,type3,type3,TA,CBlock,Gd,TA,Gd,1880,Ex,Y,type1,1,2,3,1,TA,8,2,Gd,Attchd,2,TA,TA,Y,OT,old,Normal,244000,train,9.521568058,7.706612914,7.706612914,38,38,12.4049235
72,20,RL,Pave,OT,Reg,Low,Other,Mitchel,Norm,Type1,Type2,4,6,Other,type3,type3,TA,CBlock,TA,TA,No,565,TA,Y,type1,1,1,2,1,TA,4,0,OT,type1,2,TA,TA,Y,OT,old,Normal,129500,train,8.935771939,6.739336627,6.739336627,29,5,11.77143616
73,60,RL,Pave,OT,IR,Low,Other,Gilbert,Norm,Type1,Type2,7,5,Other,type3,type3,TA,PConc,Gd,TA,No,0,Gd,Y,type1,0,2,3,1,TA,7,1,TA,Attchd,2,TA,TA,Y,OT,old,Normal,185000,train,9.224341892,7.448916103,6.785587645,13,13,12.1281111
74,20,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,5,7,Other,type2,type2,TA,CBlock,TA,TA,No,320,Gd,Y,type1,1,1,3,1,TA,6,0,OT,Attchd,2,TA,TA,Y,GdWo,old,Normal,144900,train,9.230142999,6.990256501,6.990256501,57,8,11.88379913
75,50,RM,Pave,OT,Reg,Low,Other,OldTown,Norm,Type1,Type2,3,6,Other,type3,type3,Gd,CBlock,Fa,TA,No,0,Gd,N,type1,0,2,3,2,TA,8,0,OT,type1,1,TA,TA,Y,OT,old,Normal,107400,train,8.663887571,7.380879036,6.733401892,96,61,11.58431546
76,180,RM,Pave,OT,Reg,Low,Other,MeadowV,Norm,Type2,Type2,4,5,Other,type3,type3,TA,CBlock,Gd,TA,Gd,462,TA,Y,type1,1,1,2,1,TA,5,0,OT,BuiltIn,1,TA,TA,Y,GdWo,old,Normal,91000,train,7.375255778,6.895682698,6.265301213,38,38,11.41861479
77,20,RL,Pave,OT,IR,Low,Other,NAmes,Norm,Type1,Type2,4,7,Other,type3,type3,TA,CBlock,TA,TA,No,228,Ex,Y,type2,0,1,2,1,TA,4,0,OT,type1,1,TA,TA,Y,OT,old,Normal,135750,train,9.044875932,6.858565035,6.858565035,55,55,11.81857024
78,50,RM,Pave,OT,Reg,Low,Other,BrkSide,Norm,Type1,Type1,5,5,Other,type2,type2,TA,CBlock,TA,TA,No,336,TA,Y,type1,1,1,2,1,TA,6,0,OT,type1,1,TA,TA,Y,MnPrv,old,Normal,127000,train,9.063578991,7.158513997,6.977281342,63,10,11.75194237
79,90,RL,Pave,OT,Reg,Low,Other,Sawyer,Norm,Type2,Type2,4,5,Hip,type3,type3,TA,CBlock,TA,TA,No,0,TA,N,type1,0,2,4,2,TA,8,0,OT,OT,0,OT,OT,Y,OT,old,Normal,136500,train,9.285262299,7.477604243,7.477604243,43,43,11.82407989
80,50,RM,Pave,Gr,Reg,Low,Other,OldTown,Norm,Type1,Type2,5,6,Other,type2,type2,TA,PConc,TA,TA,No,0,Gd,Y,type1,0,1,2,1,TA,5,0,OT,type1,2,TA,TA,Y,MnPrv,old,Normal,110000,train,9.253399861,7.114769448,6.525029658,101,30,11.60823565
81,60,RL,Pave,OT,Reg,Low,Other,NAmes,Norm,Type1,Type2,6,6,Other,type3,type3,TA,CBlock,Gd,TA,No,448,TA,Y,type1,0,2,4,1,Gd,8,1,Gd,Attchd,1,TA,TA,Y,OT,old,Normal,193500,train,9.472704636,7.669495251,7.074963198,43,43,12.17303279
82,120,RM,Pave,OT,Reg,Low,Other,Mitchel,Norm,Type1,Type2,6,5,Hip,type3,type3,TA,PConc,Ex,Gd,No,1201,Ex,Y,type1,1,2,2,1,TA,5,0,OT,Attchd,2,TA,TA,Y,OT,old,Normal,153500,train,8.411832676,7.198183577,7.198183577,13,13,11.94145585
83,20,RL,Pave,OT,Reg,Low,Other,Somerst,Norm,Type1,Type2,8,5,Other,type3,type3,TA,PConc,Gd,TA,No,33,Ex,Y,type1,0,2,3,1,Gd,6,1,Gd,Attchd,3,TA,TA,Y,OT,old,Normal,245000,train,9.230731062,7.35436233,7.35436233,4,4,12.40901349
